"STATION","NAME","DATE","DX32","DX90","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK","1968","26","17","54.0","62.0","46.1"
"USW00094728","NY CITY CENTRAL PARK","1969","17","16","54.8","62.1","47.4"
"USW00094728","NY CITY CENTRAL PARK","1970","29","22","54.2","61.7","46.8"
"USW00094728","NY CITY CENTRAL PARK","1971","18","18","55.2","62.3","48.1"
"USW00094728","NY CITY CENTRAL PARK","1972","19","15","53.8","61.4","46.2"
"USW00094728","NY CITY CENTRAL PARK","1973","16","18","56.0","63.8","48.3"
"USW00094728","NY CITY CENTRAL PARK","1974","19","17","54.7","62.5","46.8"
"USW00094728","NY CITY CENTRAL PARK","1975","12","8","54.9","62.3","47.5"
"USW00094728","NY CITY CENTRAL PARK","1976","29","15","53.3","61.4","45.3"
"USW00094728","NY CITY CENTRAL PARK","1977","40","23","54.3","61.6","47.0"
"USW00094728","NY CITY CENTRAL PARK","1978","38","11","52.9","60.1","45.8"
"USW00094728","NY CITY CENTRAL PARK","1979","25","18","55.7","62.8","48.5"
"USW00094728","NY CITY CENTRAL PARK","1980","26","32","54.9","62.6","47.3"
"USW00094728","NY CITY CENTRAL PARK","1981","23","16","55.2","62.3","48.0"
"USW00094728","NY CITY CENTRAL PARK","1982","21","11","54.8","62.1","47.6"
"USW00094728","NY CITY CENTRAL PARK","1983","18","36","56.0","63.2","48.7"
"USW00094728","NY CITY CENTRAL PARK","1984","21","10","55.4","62.4","48.5"
"USW00094728","NY CITY CENTRAL PARK","1985","23","9","55.5","62.9","48.1"
"USW00094728","NY CITY CENTRAL PARK","1986","14","11","55.2","63.0","47.5"
"USW00094728","NY CITY CENTRAL PARK","1987","13","22","55.1","62.9","47.3"
"USW00094728","NY CITY CENTRAL PARK","1988","23","32","54.8","62.9","46.7"
"USW00094728","NY CITY CENTRAL PARK","1989","31","16","53.9","61.8","46.0"
"USW00094728","NY CITY CENTRAL PARK","1990","3","12","57.2","65.3","49.0"
"USW00094728","NY CITY CENTRAL PARK","1991","6","39","57.2","65.5","48.8"
"USW00094728","NY CITY CENTRAL PARK","1992","9","9","53.9","61.6","46.2"
"USW00094728","NY CITY CENTRAL PARK","1993","12","39","55.5","63.7","47.2"
"USW00094728","NY CITY CENTRAL PARK","1994","27","19","55.2","63.5","46.9"
"USW00094728","NY CITY CENTRAL PARK","1995","17","29","55.3","63.0","47.6"
"USW00094728","NY CITY CENTRAL PARK","1996","26","3","53.7","60.5","46.9"
"USW00094728","NY CITY CENTRAL PARK","1997","8","12","54.3","61.6","47.0"
"USW00094728","NY CITY CENTRAL PARK","1998","6","8","57.1","64.0","50.3"
"USW00094728","NY CITY CENTRAL PARK","1999","14","27","56.5","63.9","49.0"
"USW00094728","NY CITY CENTRAL PARK","2000","30","7","53.8","60.7","46.9"
"USW00094728","NY CITY CENTRAL PARK","2001","9","15","56.2","63.4","49.0"
"USW00094728","NY CITY CENTRAL PARK","2002","5","32","56.4","63.8","49.0"
"USW00094728","NY CITY CENTRAL PARK","2003","30","8","53.4","60.1","46.7"
"USW00094728","NY CITY CENTRAL PARK","2004","26","2","54.5","61.5","47.5"
"USW00094728","NY CITY CENTRAL PARK","2005","19","23","55.7","62.9","48.5"
"USW00094728","NY CITY CENTRAL PARK","2006","7","8","56.8","63.9","49.7"
"USW00094728","NY CITY CENTRAL PARK","2007","18","10","55.0","62.3","47.7"
"USW00094728","NY CITY CENTRAL PARK","2008","12","12","55.3","62.8","47.8"
"USW00094728","NY CITY CENTRAL PARK","2009","25","7","54.0","60.9","47.1"
"USW00094728","NY CITY CENTRAL PARK","2010","17","37","56.7","63.8","49.5"
"USW00094728","NY CITY CENTRAL PARK","2011","16","20","56.4","63.6","49.2"
"USW00094728","NY CITY CENTRAL PARK","2012","5","19","57.3","64.3","50.3"
"USW00094728","NY CITY CENTRAL PARK","2013","20","17","55.3","62.3","48.4"
"USW00094728","NY CITY CENTRAL PARK","2014","29","8","54.4","61.6","47.2"
"USW00094728","NY CITY CENTRAL PARK","2015","26","20","56.7","64.1","49.2"
"USW00094728","NY CITY CENTRAL PARK","2016","12","22","57.2","64.6","49.8"
"USW00094728","NY CITY CENTRAL PARK","2017","18","13","56.4","63.2","49.5"
"USW00094728","NY CITY CENTRAL PARK","2018","14","21","55.9","62.6","49.2"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1968","87","4","41.7","51.5","32.0"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1969","95","2","42.5","51.7","33.4"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1970","87","9","42.5","52.2","32.7"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1971","79","4","43.4","53.0","33.9"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1972","82","2","42.3","51.7","33.0"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1973","54","4","46.1","54.8","37.4"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1974","64","4","44.2","53.1","35.3"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1975","70","15","46.0","55.4","36.7"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1976","72","5","43.7","53.3","34.1"
